,gvkey_focal,year,gvkey1,gvkey2,score,gvkey_peer,focal_ticker,focal_company_name,focal_cik,focal_primary_sic,peer_ticker,peer_company_name
16248,007241,2006,7241,11264,0.0452,011264,CVS,CVS Health Corp.,0000064803,5912,WBA,Walgreens Boots Alliance Inc.
16259,011259,2006,11259,2184,0.0051,002184,WMT,Walmart Inc.,0000104169,5331,BBY,Best Buy Co. Inc.
16263,011259,2006,11259,4016,0.0473,004016,WMT,Walmart Inc.,0000104169,5331,DG,Dollar General Corp.
16269,011259,2006,11259,6502,0.0394,006502,WMT,Walmart Inc.,0000104169,5331,KR,Kroger Co.
16281,011259,2006,11259,11672,0.1396,011672,WMT,Walmart Inc.,0000104169,5331,TJX,TJX Companies Inc.
16325,011264,2006,11264,7241,0.0452,007241,WBA,Walgreens Boots Alliance Inc.,0001618921,5912,CVS,CVS Health Corp.
16329,011672,2006,11672,2184,0.0646,002184,TJX,TJX Companies Inc.,0000109198,5651,BBY,Best Buy Co. Inc.
16339,011672,2006,11672,4016,0.0467,004016,TJX,TJX Companies Inc.,0000109198,5651,DG,Dollar General Corp.
16352,011672,2006,11672,6829,0.0056,006829,TJX,TJX Companies Inc.,0000109198,5651,LOW,Lowes Companies Inc.
16362,011672,2006,11672,11259,0.1396,011259,TJX,TJX Companies Inc.,0000109198,5651,WMT,Walmart Inc.
16460,012141,2006,12141,1690,0.0189,001690,MSFT,Microsoft Corp.,0000789019,7372,AAPL,Apple Inc.
16631,031587,2006,31587,2184,0.0064,002184,DLTR,Dollar Tree Inc.,0000935703,5331,BBY,Best Buy Co. Inc.
16636,031587,2006,31587,4016,0.054,004016,DLTR,Dollar Tree Inc.,0000935703,5331,DG,Dollar General Corp.
16705,064768,2006,64768,160329,0.0386,160329,AMZN,Amazon.com Inc.,0001018724,5961,GOOGL,Alphabet Inc.
16710,160329,2006,160329,1690,0.0023,001690,GOOGL,Alphabet Inc.,0001652044,7389,AAPL,Apple Inc.
